City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year,years_since_start,waste_per_capita,cost_efficiency,index
Mumbai,Plastic,6610.0,68.0,11191.0,9.0,Composting,3056.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,0.0,0.5906532034670717,339.55555555555554,
Mumbai,Organic,1181.0,56.0,11191.0,5.0,Composting,2778.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,0.0,0.1055312304530426,555.6,
Mumbai,E-Waste,8162.0,53.0,11191.0,8.0,Incineration,3390.0,13.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,0.0,0.729336073630596,423.75,
Mumbai,Construction,8929.0,56.0,11191.0,5.0,Landfill,1498.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,0.0,0.7978732910374408,299.6,
Mumbai,Hazardous,5032.0,44.0,11191.0,7.0,Recycling,2221.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2019.0,0.0,0.4496470377982307,317.2857142857143,
Mumbai,Plastic,7456.0,73.0,11191.0,9.0,Landfill,3195.0,6.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,1.0,0.6662496649093022,355.0,
Mumbai,Organic,7118.0,37.0,11191.0,6.0,Composting,3686.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,1.0,0.636046823340184,614.3333333333334,
Mumbai,E-Waste,9189.0,57.0,11191.0,10.0,Landfill,1791.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,1.0,0.8211062460906086,179.1,
Mumbai,Construction,8609.0,48.0,11191.0,8.0,Incineration,1681.0,20.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,1.0,0.7692788848181574,210.125,
Mumbai,Hazardous,6632.0,71.0,11191.0,6.0,Incineration,2311.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2020.0,1.0,0.5926190688946474,385.1666666666667,
Mumbai,Plastic,6932.0,81.0,11191.0,10.0,Incineration,2543.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,2.0,0.6194263247252256,254.3,
Mumbai,Organic,4171.0,44.0,11191.0,9.0,Incineration,4756.0,14.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,2.0,0.3727102135644714,528.4444444444445,
Mumbai,E-Waste,5095.0,30.0,11191.0,10.0,Composting,3586.0,2.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,2.0,0.4552765615226521,358.6,
Mumbai,Construction,3514.0,77.0,11191.0,9.0,Incineration,3520.0,0.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,2.0,0.3140023232955053,391.1111111111111,
Mumbai,Hazardous,4505.0,54.0,11191.0,10.0,Composting,3655.0,4.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2021.0,2.0,0.4025556250558484,365.5,
Mumbai,Plastic,2501.0,41.0,11191.0,9.0,Recycling,1194.0,4.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,3.0,0.2234831561075864,132.66666666666666,
Mumbai,Organic,3348.0,79.0,11191.0,6.0,Incineration,2383.0,10.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,3.0,0.299168975069252,397.1666666666667,
Mumbai,E-Waste,6915.0,41.0,11191.0,9.0,Incineration,2324.0,1.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,3.0,0.6179072468948262,258.22222222222223,
Mumbai,Construction,5862.0,48.0,11191.0,7.0,Landfill,2867.0,19.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,3.0,0.5238137789294969,409.57142857142856,
Mumbai,Hazardous,4856.0,74.0,11191.0,10.0,Landfill,826.0,1.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2022.0,3.0,0.4339201143776249,82.6,
Mumbai,Plastic,6569.0,48.0,11191.0,5.0,Landfill,4287.0,16.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,4.0,0.5869895451702261,857.4,
Mumbai,Organic,7809.0,35.0,11191.0,8.0,Recycling,3128.0,7.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,4.0,0.6977928692699491,391.0,
Mumbai,E-Waste,7232.0,82.0,11191.0,6.0,Landfill,1565.0,9.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,4.0,0.6462335805558038,260.8333333333333,
Mumbai,Construction,4039.0,54.0,11191.0,9.0,Recycling,1252.0,12.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,4.0,0.360915020999017,139.11111111111111,
Mumbai,Hazardous,7077.0,70.0,11191.0,9.0,Incineration,2850.0,5.0,Mumbai Landfill,"22.4265, 77.4931",45575.0,2023.0,4.0,0.6323831650433384,316.6666666666667,
Delhi,Plastic,1061.0,59.0,14376.0,5.0,Landfill,4240.0,1.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2019.0,0.0,0.0738035614913745,848.0,
